   Summary      2024-04-25/26                           #20
   ========================================================
   Moon
           Rise            19:10
           Transit         02:21 Alt 83.79° (next day)
           Set             09:41 (next day)

           Phase angle                    86.29 [°]
           Average illumination           73.02 [%]
           Moon NGC 6523 distance         29.60 [°]
           Moon Earth distance        374744.40 [km]

           New Moon             2024-04-08 14:22:02
           First Quarter        2024-04-15 15:14:16
           Full                 2024-04-23 19:50:12
           Last Quarter         2024-05-01 07:28:25

   Sun
           Sun Earth distance   149597870.70                  [km]
           Rise            07:09
           Transit         12:39 Alt 45.98°
           Set             18:12


   NGC 6523
           Rise            21:25
           Transit         04:27 Alt 83.85° (next day)
           Set             11:28 (next day)
           East bound                   00:00 [hrs]
           West bound                   00:00 [hrs]
           Maximum altitude             83.85 [°]
           J2000       18 03 42.000   -24 22 48.000
           JNow        18 05 11.494   -24 22 38.547
           Next midnight culmination     2024-06-08
           Above horizon   22:40  Az 115.6 Alt  5.0

   Twilight zones
           Civil dusk          18:17	18:37
           Nautical dusk       18:37	19:05
           Astronomical dusk   19:05	19:33
           Midnight            19:33	05:49
           Astronomical dawn   05:49	06:17
           Nautical dawn       06:17	06:45
           Civil dawn          06:45	07:04

   -------------------------------------------------------

   Midnight
           JulianDay       2460426.66666667
           Sidereal Time   08:51:47

   Time Zone               -4

   -------------------------------------------------------

   Location                Deep Sky Chile
   Longitude              -70 51 12.584
   Latitude               -30 31 35.086
   Height                  1000

   -------------------------------------------------------

   Tracking details

   ========================================================
    Date & Time          Azimuth  Altitude    Dist   Illum
                             [°]       [°]     [°]     [%]
   ========================================================
   2024-04-25 12:00:00    237.73     -5.11   36.78   97.38
   2024-04-25 12:10:00    236.34     -6.92   36.66   97.35
   2024-04-25 12:20:00    234.90     -8.70   36.55   97.32
   2024-04-25 12:30:00    233.41    -10.45   36.43   97.29
   2024-04-25 12:40:00    231.87    -12.17   36.31   97.26
   2024-04-25 12:50:00    230.29    -13.85   36.20   97.23
   2024-04-25 13:00:00    228.65    -15.49   36.08   97.19
   2024-04-25 13:10:00    226.95    -17.09   35.96   97.16
   2024-04-25 13:20:00    225.19    -18.65   35.84   97.13
   2024-04-25 13:30:00    223.37    -20.15   35.72   97.10
   2024-04-25 13:40:00    221.49    -21.61   35.60   97.07
   2024-04-25 13:50:00    219.54    -23.01   35.48   97.03
   2024-04-25 14:00:00    217.53    -24.36   35.36   97.00
   2024-04-25 14:10:00    215.45    -25.64   35.24   96.97
   2024-04-25 14:20:00    213.29    -26.86   35.13   96.93
   2024-04-25 14:30:00    211.07    -28.01   35.01   96.90
   2024-04-25 14:40:00    208.78    -29.09   34.89   96.87
   2024-04-25 14:50:00    206.42    -30.09   34.77   96.83
   2024-04-25 15:00:00    203.99    -31.01   34.65   96.80
   2024-04-25 15:10:00    201.50    -31.85   34.53   96.76
   2024-04-25 15:20:00    198.95    -32.59   34.41   96.73
   2024-04-25 15:30:00    196.35    -33.25   34.29   96.69
   2024-04-25 15:40:00    193.69    -33.81   34.17   96.66
   2024-04-25 15:50:00    190.99    -34.27   34.05   96.62
   2024-04-25 16:00:00    188.26    -34.63   33.94   96.59
   2024-04-25 16:10:00    185.50    -34.89   33.82   96.55
